Lead_ID,Student_ID,Date_of_Enquiry,City,Source,Course_Type,Conversion_Status,Date_of_Joining,Fees_Quoted
L34692073,S9231566,2024-04-05,Ludhiana,Walk-in,1year,Converted,2024-04-16,138960.0
L76773058,,21/11/2024,Surat,School Seminar,1-Year,Not Converted,,
L17466807,,28/07/2024,Faridabad,Referral,2-Year,Not Converted,,
L42010959,,13/05/2025,Nagpur,Walk-in,1-Year,Not Converted,,
L52713783,S3751453,01-12-2025,Bengaluru,Referral,1-Year,Converted,15/02/2025,180612.0
L13878394,S7713492,08-29-2023,Rajkot,Website,2year,Converted,19/10/2023,115201.0
L49587068,,2024-07-17,Jaipur,Referral,1-Year,Not Converted,,
L53063646,S0136684,04-06-2023,Indore,School Seminar,2-Year,Converted,2023-05-08,176364.0
L30839299,,2025-06-18,Nashik,School Seminar,1year,Not Converted,,
L06386916,,03/01/2025,Surat,Referral,2-Year,Not Converted,,
L70073356,,2024-04-29,Mumbai,Social Media,1-Year,Not Converted,,
L69375536,,11/02/2024,Kanpur,Referral,1 Yr,Not Converted,,
L21743522,,19/08/2023,Gurugram,School Seminar,1 Yr,Not Converted,,
L49294184,,2025-01-18,Ludhiana,Social Media,2 Yr,Not Converted,,
L84068330,,10-16-2024,Agra,Referral,2 Yr,Not Converted,,
L58879675,,20/06/2023,Ludhiana,School Seminar,2 Yr,Not Converted,,
L12170538,,06-24-2024,Kolkata,Referral,One-Year,Not Converted,,
L56039757,,02-05-2023,Nagpur,Walk-in,Two-Year,Not Converted,,
L80964638,,2024-06-08,Meerut,Social Media,1-Year,Not Converted,,
L76194901,S4830393,06-09-2023,Hyderabad,Social Media,1 Yr,Converted,02/08/2023,122545.0
L11373988,,2025-04-18,Jaipur,School Seminar,1 Yr,Not Converted,,
L26513551,,11-29-2024,Jaipur,Social Media,2-Year,Not Converted,,
L91676858,,2023-08-31,Indore,Social Media,1-Year,Not Converted,,
L00656746,,27/03/2023,,Website,1-Year,Not Converted,,
L46294862,,03-06-2025,Bengaluru,Social Media,1-Year,Not Converted,,
L00442637,,31/07/2024,Patna,Agent,2-Year,Not Converted,,
L78913534,,11-12-2024,Pune,Agent,1-Year,Not Converted,,
L22023628,,2024-07-10,,Social Media,1-Year,Not Converted,,
L13537454,,27/07/2024,Hyderabad,Social Media,1year,Not Converted,,
L30959230,S6876342,10-07-2024,Nagpur,Walk-in,2-Year,Converted,11-30-2024,118887.0
L48645848,,2025-03-06,Faridabad,Referral,1-Year,Not Converted,,
L77345150,,2023-01-28,Nashik,Social Media,1-Year,Not Converted,,
L57296193,,2024-09-11,Indore,Walk-in,2 Yr,Not Converted,,
L73971550,S0122970,07-09-2024,Surat,Social Media,1-Year,Converted,29/08/2024,162519.0
L13446536,S7134028,12-06-2023,Nagpur,Website,2year,Converted,20/02/2024,137274.0
L19723857,,2025-03-08,Jaipur,Social Media,1-Year,Not Converted,,
L28369577,S1664505,27/11/2023,Kolkata,Social Media,2-Year,Converted,01-04-2024,179236.0
L60497757,,2024-10-01,Thane,Social Media,1-Year,Not Converted,,
L51668160,,05-20-2024,Jaipur,Agent,2year,Not Converted,,
L91031647,,12-14-2023,Jaipur,Walk-in,1-Year,Not Converted,,
L98701236,S4342708,2024-04-17,Agra,School Seminar,1 Yr,Converted,07-02-2024,136665.0
L53193377,,08-19-2023,Gurugram,Referral,1-Year,Not Converted,,
L66612529,,2023-07-09,Ghaziabad,Social Media,2 Yr,Not Converted,,
L22273397,,13/08/2023,Bengaluru,Social Media,1 Yr,Not Converted,,
L21639898,S0420307,01-20-2024,Bengaluru,Referral,2-Year,Converted,06/04/2024,155136.0
L22734242,,2024-01-12,Gurugram,Walk-in,2 Yr,Not Converted,,
L59616526,S8536796,2023-10-10,Lucknow,Walk-in,2-Year,Converted,2023-11-12,164345.0
L56047170,,24/09/2024,Bengaluru,Social Media,One-Year,Not Converted,,
L59498419,,19/09/2024,Ghaziabad,Website,2 Yr,Not Converted,,
L36905579,,01-14-2025,Ludhiana,Social Media,2year,Not Converted,,
L91819934,,2023-09-16,Agra,Agent,Two-Year,Not Converted,,
L99980519,,25/12/2023,Jaipur,Social Media,1-Year,Not Converted,,
L29549841,S6415694,10/12/2024,Delhi,Referral,1-Year,Converted,02-27-2025,163760.0
L11421775,,03-31-2024,Gurugram,Social Media,1-Year,Not Converted,,
L71888506,,15/02/2024,Ahmedabad,Referral,2-Year,Not Converted,,
L11322279,,10/10/2024,Agra,Walk-in,2-Year,Not Converted,,
L37066013,,11-14-2023,Nashik,Referral,1-Year,Not Converted,,
L45873192,,07/11/2024,Ghaziabad,Referral,2-Year,Not Converted,,
L62117645,,2023-08-13,Lucknow,Walk-in,2 Yr,Not Converted,,
L45622780,,29/03/2025,Jaipur,Walk-in,1-Year,Not Converted,,
L47050555,S3212972,08-22-2023,Ghaziabad,School Seminar,1year,Converted,18/10/2023,183325.0
L13512505,,11-14-2024,Srinagar,Social Media,1-Year,Not Converted,,
L84540487,,2024-10-25,Gurugram,Walk-in,2-Year,Not Converted,,
L38750309,S8460161,06/04/2025,Hyderabad,Walk-in,1-Year,Converted,2025-04-20,158730.0
L90904779,S7643593,2024-01-09,Chennai,Referral,2-Year,Converted,15/02/2024,161122.0
L64938936,,11-02-2024,Gurugram,Referral,1year,Not Converted,,
L65631557,S3473807,2024-08-30,Faridabad,Social Media,2 Yr,Converted,03/09/2024,139313.0
L20026558,,04-16-2024,Ranchi,Social Media,2 Yr,Not Converted,,
L23297184,,21/08/2023,Kolkata,Social Media,1-Year,Not Converted,,
L78021057,,2024-11-22,Ghaziabad,Social Media,2-Year,Not Converted,,
L07422805,,23/04/2023,Nashik,Walk-in,2 Yr,Not Converted,,
L28735633,,04-09-2025,Nashik,Walk-in,1 Yr,Not Converted,,
L16230989,S6595633,05-11-2024,Nagpur,Agent,Two-Year,Converted,05-20-2024,118726.0
L64499673,S3291054,2024-03-17,Delhi,Walk-in,1year,Converted,2024-03-21,136843.0
L41374837,S2283866,07-17-2024,Ghaziabad,Social Media,2-Year,Converted,04/08/2024,117280.0
L89595122,S8097478,09-25-2023,Ahmedabad,Website,1-Year,Converted,11-24-2023,122796.0
L69807126,,2024-05-24,Indore,Website,2 Yr,Not Converted,,
L68177548,,03-17-2025,Gurugram,Referral,Two-Year,Not Converted,,
L39099194,S8085378,01-21-2024,Nagpur,Walk-in,2 Yr,Converted,2024-04-18,184300.0
L26295735,S4836266,2024-01-22,Varanasi,Agent,1 Yr,Converted,03-01-2024,163572.0
L32540948,,23/04/2023,Pune,Referral,2-Year,Not Converted,,
L93452129,,09-04-2024,Agra,Website,2year,Not Converted,,
L54133846,S2156475,09-16-2024,,Social Media,2 Yr,Converted,09/10/2024,181462.0
L62896417,,2023-03-22,Hyderabad,Social Media,1 Yr,Not Converted,,
L17495600,S2880692,2024-11-29,Delhi,Referral,One-Year,Converted,02/02/2025,157648.0
L89674827,S7345786,04-23-2023,Indore,Walk-in,1-Year,Converted,06-06-2023,144772.0
L05366644,S6074889,01-02-2023,Bengaluru,School Seminar,2 Yr,Converted,03-12-2023,120086.0
L05052908,,03/10/2024,Meerut,Agent,One-Year,Not Converted,,
L68910115,S4381351,08-08-2023,Amritsar,Referral,2 Yr,Converted,2023-09-28,143119.0
L82334592,S0818172,2024-07-19,Indore,Social Media,2-Year,Converted,10-09-2024,179983.0
L68687035,S8254006,05-04-2025,Jaipur,School Seminar,2-Year,Converted,13/06/2025,137702.0
L00144758,,05/01/2025,Indore,Walk-in,1-Year,Not Converted,,
L05028840,S9583471,08-13-2023,Faridabad,Social Media,1-Year,Converted,2023-09-01,135783.0
L09850939,S3637557,2024-01-20,Delhi,Referral,2-Year,Converted,2024-03-03,163555.0
L57730128,S8390135,07/02/2024,Ghaziabad,Walk-in,1year,Converted,23/02/2024,179891.0
L38371975,S6146854,29/09/2024,Ghaziabad,School Seminar,2 Yr,Converted,11-30-2024,184890.0
L90483793,,2023-05-10,Ludhiana,Referral,2 Yr,Not Converted,,
L70294394,S4346554,22/02/2023,Ahmedabad,Social Media,1-Year,Converted,04-22-2023,119745.0
L66067701,S3561315,11-14-2024,Faridabad,Agent,1 Yr,Converted,2024-12-29,143172.0
L76731033,,30/12/2024,Bengaluru,Walk-in,1-Year,Not Converted,,
L21145403,S7172422,11-02-2024,Kolkata,Referral,1-Year,Converted,2024-11-17,117589.0
L05332309,S4879339,10/12/2024,Ranchi,Social Media,1-Year,Converted,27/01/2025,180722.0
L99513134,,2024-02-20,Faridabad,Walk-in,Two-Year,Not Converted,,
L04440226,,2023-09-04,Delhi,Social Media,1-Year,Not Converted,,
L51139368,,15/04/2025,Ahmedabad,Social Media,1year,Not Converted,,
L33889139,,14/03/2024,Kolkata,Referral,2 Yr,Not Converted,,
L23992645,,07-22-2023,Jaipur,Social Media,1-Year,Not Converted,,
L23831555,,2023-07-03,Ahmedabad,Walk-in,1 Yr,Not Converted,,
L65947426,,05-03-2023,Mumbai,Social Media,1 Yr,Not Converted,,
L87446267,,05/02/2024,Thane,Walk-in,1-Year,Not Converted,,
L70944596,S9583479,2025-02-05,Faridabad,Social Media,1 Yr,Converted,2025-04-29,137347.0
L57385607,S8444618,2023-10-21,Ghaziabad,Social Media,1 Yr,Converted,06/12/2023,143215.0
L63609637,,07/10/2023,Agra,Social Media,2 Yr,Not Converted,,
L94025555,,16/04/2025,Bengaluru,Website,1-Year,Not Converted,,
L43755301,,2025-06-02,Gurugram,Website,2-Year,Not Converted,,
L49191342,,09-01-2024,Varanasi,Social Media,2 Yr,Not Converted,,
L44463381,,2023-07-17,Rajkot,School Seminar,2-Year,Not Converted,,
L86619211,,25/06/2025,Varanasi,Walk-in,2 Yr,Not Converted,,
L59241640,S0892214,05-25-2024,Amritsar,Agent,1-Year,Converted,2024-08-06,155006.0
L61537278,,01-21-2025,Patna,Referral,1-Year,Not Converted,,
L01813428,S1302329,05-24-2023,Kolkata,Walk-in,1-Year,Converted,30/05/2023,144463.0
L56565386,,31/08/2024,Ludhiana,Social Media,2year,Not Converted,,
L87260113,,07-20-2023,Faridabad,Referral,2-Year,Not Converted,,
L16541316,,2023-05-04,Faridabad,Agent,1 Yr,Not Converted,,
L66954134,S7170196,06/07/2023,Patna,Referral,2-Year,Converted,08-13-2023,180630.0
L03018954,,11-22-2023,Bengaluru,Social Media,1 Yr,Not Converted,,
L64840072,S3805635,2024-04-08,Kanpur,Social Media,1year,Converted,09/05/2024,117556.0
L25147751,S4274357,15/12/2023,Amritsar,Walk-in,One-Year,Converted,26/12/2023,181788.0
L17838075,,02-09-2025,Ghaziabad,Walk-in,1-Year,Not Converted,,
L91872943,S5102933,10-21-2024,Patna,Referral,1 Yr,Converted,24/12/2024,184858.0
L84972853,S7865894,02/02/2025,Jaipur,Agent,1 Yr,Converted,2025-03-30,164253.0
L76112203,S2689335,07/02/2024,Kanpur,Social Media,2-Year,Converted,01/04/2024,138801.0
L25372289,,12-12-2023,Ranchi,Social Media,1year,Not Converted,,
L60979981,S0497787,05-25-2024,Agra,Website,1-Year,Converted,2024-05-27,136163.0
L82787645,,05-27-2023,Rajkot,Social Media,2-Year,Not Converted,,
L24468052,,05-28-2023,Thane,Social Media,2-Year,Not Converted,,
L93930777,,13/05/2025,Ludhiana,Referral,2 Yr,Not Converted,,
L46305242,,12-11-2024,Ahmedabad,School Seminar,1 Yr,Not Converted,,
L28355436,,30/03/2025,Nashik,Social Media,1 Yr,Not Converted,,
L00741840,S1087285,2024-05-03,Indore,Website,Two-Year,Converted,06-12-2024,143187.0
L92616192,S6870822,01/10/2024,Indore,School Seminar,2 Yr,Converted,2024-11-27,163947.0
L62391336,,2024-07-04,Agra,Social Media,1 Yr,Not Converted,,
L26704126,,2023-12-04,Amritsar,Walk-in,2 Yr,Not Converted,,
L06894103,S6734651,2025-05-21,Mumbai,Referral,1 Yr,Converted,2025-06-26,184418.0
L71381771,S5248092,2024-10-02,Varanasi,Referral,2-Year,Converted,10-26-2024,140978.0
L91506476,,2025-02-17,Lucknow,School Seminar,2 Yr,Not Converted,,
L14680175,,2024-04-17,Indore,Agent,1-Year,Not Converted,,
L39312056,,31/05/2023,Delhi,Social Media,1-Year,Not Converted,,
L67686355,,2024-02-19,Lucknow,Referral,1-Year,Not Converted,,
L72089414,,10-25-2023,Bhopal,Referral,1 Yr,Not Converted,,
L55999185,,09-02-2024,Mumbai,Referral,One-Year,Not Converted,,
L36797002,,20/09/2023,Bhopal,Referral,1 Yr,Not Converted,,
L00756547,,2025-02-02,Amritsar,Social Media,1-Year,Not Converted,,
L05623528,,24/05/2023,Hyderabad,Walk-in,2 Yr,Not Converted,,
L53686067,S7617989,12/12/2023,Meerut,Referral,1-Year,Converted,2024-02-12,141090.0
L80044637,S3067969,09-15-2024,Nagpur,Social Media,2-Year,Converted,2024-11-03,178362.0
L71771957,,07-25-2024,Agra,School Seminar,1-Year,Not Converted,,
L71172870,,05-30-2025,Jaipur,School Seminar,1-Year,Not Converted,,
L82075043,S9057795,02/01/2023,Chennai,Referral,1-Year,Converted,18/02/2023,177012.0
