Student_ID,City,Course_Type,Total_Fees,Amount_Paid,Payment_Mode,Payment_Date,Outstanding_Amount
S9415673,Patna,1-Year,120000,42898,UPI,04-29-2024,77102
S9415673,Patna,1-Year,120000,46423,Cheque,04-30-2024,30679
S9415673,Patna,1-Year,120000,45635,Cheque,28-12-2023,-14956
S3108959,Mumbai,1 Yr,120000,117835,UPI,02-05-2024,2165
S1168069,Hyderabad,2-Year,160000,164349,Card,16-10-2023,-4349
S9410950,Meerut,2 Yr,180000,93539,Card,17-12-2023,86461
S9410950,Meerut,2 Yr,180000,90394,Online,11-20-2023,-3933
S6716948,Nagpur,2-Year,140000,142387,Card,,-2387
S7052825,,1-Year,160000,82937,UPI,26-06-2024,77063
S7052825,,1-Year,160000,81911,UPI,12-10-2024,-4848
S9034947,Ahmedabad,1-Year,140000,143338,Online,28-06-2024,-3338
S3500806,Delhi,1year,120000,39203,UPI,24-12-2024,80797
S3500806,Delhi,1year,120000,47092,Card,13-12-2024,33705
S3500806,Delhi,1year,120000,37318,Card,10-07-2024,-3613
S2463655,Kolkata,2-Year,160000,50765,Online,21-11-2023,109235
S2463655,Kolkata,2-Year,160000,54883,UPI,14-09-2023,54352
S2463655,Kolkata,2-Year,160000,61817,UPI,02-21-2024,-7465
S3934275,Agra,1-Year,180000,181570,Cheque,21-12-2023,-1570
S2012000,Faridabad,1-Year,140000,44610,UPI,07-12-2024,95390
S2012000,Faridabad,1-Year,140000,47926,UPI,22-03-2025,47464
S2012000,Faridabad,1-Year,140000,36340,Online,05-20-2025,11124
S5759401,Indore,1 Yr,180000,90892,UPI,09-18-2024,89108
S5759401,Indore,1 Yr,180000,93618,Cash,07-01-2024,-4510
S5796545,Surat,2-Year,160000,51456,Card,28-02-2024,108544
S5796545,Surat,2-Year,160000,54130,Cheque,07-08-2024,54414
S5796545,Surat,2-Year,160000,46311,Cheque,08-03-2024,8103
S0194286,Kanpur,1-Year,140000,71640,Cash,12-05-2025,68360
S0194286,Kanpur,1-Year,140000,65676,Card,06-10-2025,2684
S7430660,Rajkot,1-Year,160000,56468,Cheque,05-07-2025,103532
S7430660,Rajkot,1-Year,160000,50354,UPI,20-02-2025,53178
S7430660,Rajkot,1-Year,160000,49044,Online,05-23-2025,4134
S8387183,,1-Year,120000,42667,Card,10-17-2024,77333
S8387183,,1-Year,120000,39405,Cheque,14-06-2024,37928
S8387183,,1-Year,120000,39414,Cash,05-12-2024,-1486
S8860583,Meerut,1-Year,140000,133065,Cheque,29-07-2025,6935
S9042488,Patna,Two-Year,140000,63436,Cash,12-16-2025,76564
S9042488,Patna,Two-Year,140000,73075,Online,26-10-2025,3489
S9873032,Ghaziabad,2-Year,140000,64473,UPI,27-12-2023,75527
S9873032,Ghaziabad,2-Year,140000,74100,UPI,04-04-2024,1427
S9429451,Meerut,2 Yr,180000,182185,Cheque,30-10-2025,-2185
S5772581,Hyderabad,One-Year,140000,42472,Cash,14-04-2024,97528
S5772581,Hyderabad,One-Year,140000,42391,Cheque,07-03-2024,55137
S5772581,Hyderabad,One-Year,140000,42850,Online,25-06-2024,12287
S6801298,Bhopal,1-Year,140000,68362,Cash,12-18-2025,71638
S6801298,Bhopal,1-Year,140000,70506,Online,09-08-2025,1132
S0604458,Amritsar,1 Yr,180000,87269,Cash,02-06-2024,92731
S0604458,Amritsar,1 Yr,180000,92283,Online,11-04-2023,448
S1400822,Faridabad,1-Year,180000,182462,Online,23-05-2024,-2462
S0257787,Thane,One-Year,180000,91589,Online,,88411
S0257787,Thane,One-Year,180000,86583,Cheque,10-08-2024,1828
S9169681,Faridabad,2year,160000,159978,UPI,17-03-2023,22
S0268070,Jaipur,Two-Year,180000,91500,UPI,19-04-2023,88500
S0268070,Jaipur,Two-Year,180000,93061,Cash,24-09-2023,-4561
S5373310,Kolkata,1 Yr,140000,41242,Card,12-12-2025,98758
S5373310,Kolkata,1 Yr,140000,47729,Card,24-08-2025,51029
S5373310,Kolkata,1 Yr,140000,54469,Cheque,13-09-2025,-3440
S5354295,Surat,1 Yr,140000,65969,Card,23-11-2024,74031
S5354295,Surat,1 Yr,140000,64339,Cash,,9692
S8642160,,2 Yr,140000,70521,Card,24-09-2023,69479
S8642160,,2 Yr,140000,70210,Cash,25-06-2023,-731
S1554732,Vadodara,2-Year,140000,49784,Cheque,09-03-2023,90216
S1554732,Vadodara,2-Year,140000,50070,Card,04-07-2023,40146
S1554732,Vadodara,2-Year,140000,52895,UPI,19-01-2024,-12749
S7264276,Bhopal,2 Yr,120000,38598,Cheque,01-09-2025,81402
S7264276,Bhopal,2 Yr,120000,39850,Card,23-10-2024,41552
S7264276,Bhopal,2 Yr,120000,43571,UPI,11-05-2024,-2019
S9033743,Kanpur,1-Year,120000,117479,Cheque,05-08-2024,2521
S7176150,Rajkot,2-Year,180000,95483,Card,05-09-2024,84517
S7176150,Rajkot,2-Year,180000,90830,Online,14-06-2024,-6313
S9149382,Delhi,2-Year,120000,49399,Card,07-25-2025,70601
S9149382,Delhi,2-Year,120000,43172,Cheque,23-05-2025,27429
S9149382,Delhi,2-Year,120000,42898,Online,30-10-2025,-15469
S9009918,Delhi,1 Yr,160000,55935,Cash,11-13-2023,104065
S9009918,Delhi,1 Yr,160000,63744,Card,14-02-2024,40321
S9009918,Delhi,1 Yr,160000,52961,UPI,04-17-2024,-12640
S4056009,Ahmedabad,1-Year,120000,35998,UPI,23-09-2023,84002
S4056009,Ahmedabad,1-Year,120000,34398,UPI,11-09-2023,49604
S4056009,Ahmedabad,1-Year,120000,38383,UPI,05-04-2024,11221
S8565137,Varanasi,2-Year,120000,61900,Cheque,07-26-2025,58100
S8565137,Varanasi,2-Year,120000,60113,Cash,13-05-2025,-2013
S3155379,Srinagar,1 Yr,160000,149421,Cheque,21-05-2025,10579
S6760253,Pune,2-Year,160000,44318,Online,06-08-2025,115682
S6760253,Pune,2-Year,160000,48638,UPI,20-08-2025,67044
S6760253,Pune,2-Year,160000,59626,Cash,,7418
S8129960,Vadodara,1 Yr,180000,62900,Cheque,11-07-2025,117100
S8129960,Vadodara,1 Yr,180000,59717,UPI,13-07-2025,57383
S8129960,Vadodara,1 Yr,180000,62358,UPI,22-05-2025,-4975
S9259177,Rajkot,1 Yr,140000,66006,UPI,31-05-2023,73994
S9259177,Rajkot,1 Yr,140000,69776,Cheque,22-07-2023,4218
S1588390,Varanasi,2-Year,140000,72451,Cheque,03-11-2024,67549
S1588390,Varanasi,2-Year,140000,74145,Cheque,05-12-2024,-6596
S4696776,Amritsar,2year,120000,40995,Cash,16-02-2026,79005
S4696776,Amritsar,2year,120000,35875,Online,08-15-2025,43130
S4696776,Amritsar,2year,120000,39899,Cash,08-06-2025,3231
S4035789,Mumbai,2 Yr,140000,48879,Cash,03-18-2024,91121
S4035789,Mumbai,2 Yr,140000,53721,UPI,21-03-2024,37400
S4035789,Mumbai,2 Yr,140000,40764,Card,28-01-2024,-3364
S9231566,Ludhiana,1year,180000,88695,Online,08-29-2024,91305
S9231566,Ludhiana,1year,180000,90090,Online,09-17-2024,1215
S3751453,Bengaluru,1-Year,180000,90935,Cheque,14-03-2025,89065
S3751453,Bengaluru,1-Year,180000,91742,UPI,03-04-2025,-2677
S7713492,Rajkot,2year,140000,136973,Cheque,01-02-2024,3027
S0136684,Indore,2-Year,140000,142396,Cash,17-09-2023,-2396
S4830393,Hyderabad,1 Yr,140000,136676,Card,02-01-2024,3324
S6876342,Nagpur,2-Year,160000,56449,Online,30-01-2025,103551
S6876342,Nagpur,2-Year,160000,58292,UPI,03-05-2025,45259
S6876342,Nagpur,2-Year,160000,52296,Card,02-03-2025,-7037
S0122970,Surat,1-Year,180000,61578,UPI,21-12-2024,118422
S0122970,Surat,1-Year,180000,58275,Cheque,11-15-2024,60147
S0122970,Surat,1-Year,180000,59989,UPI,02-08-2025,158
S7134028,Nagpur,2year,180000,60395,UPI,04-06-2024,119605
S7134028,Nagpur,2year,180000,62964,Online,18-08-2024,56641
S7134028,Nagpur,2year,180000,62904,Cash,09-26-2024,-6263
S1664505,Kolkata,2-Year,120000,55692,Cheque,08-05-2024,64308
S1664505,Kolkata,2-Year,120000,63128,Card,01-24-2024,1180
S4342708,Agra,1 Yr,120000,124875,Cash,11-16-2024,-4875
S0420307,Bengaluru,2-Year,160000,70965,UPI,05-16-2024,89035
S0420307,Bengaluru,2-Year,160000,76917,Online,04-07-2024,12118
S8536796,Lucknow,2-Year,120000,46772,Cash,13-05-2024,73228
S8536796,Lucknow,2-Year,120000,45626,Cash,18-01-2024,27602
S8536796,Lucknow,2-Year,120000,39021,Card,04-05-2024,-11419
S6415694,Delhi,1-Year,180000,90862,Online,11-03-2025,89138
S6415694,Delhi,1-Year,180000,91054,Card,29-04-2025,-1916
S3212972,Ghaziabad,1year,140000,41625,Cash,10-23-2023,98375
S3212972,Ghaziabad,1year,140000,43016,Cheque,08-02-2024,55359
S3212972,Ghaziabad,1year,140000,46278,Cash,17-04-2024,9081
S8460161,Hyderabad,1-Year,140000,49717,Cash,27-07-2025,90283
S8460161,Hyderabad,1-Year,140000,50137,Cash,06-21-2025,40146
S8460161,Hyderabad,1-Year,140000,45018,Online,10-18-2025,-4872
S7643593,Chennai,2-Year,180000,67101,Online,20-08-2024,112899
S7643593,Chennai,2-Year,180000,60888,Cash,30-03-2024,52011
S7643593,Chennai,2-Year,180000,61547,Cash,06-27-2024,-9536
S3473807,Faridabad,2 Yr,120000,41730,Card,04-11-2024,78270
S3473807,Faridabad,2 Yr,120000,35581,Online,30-11-2024,42689
S3473807,Faridabad,2 Yr,120000,35883,Cash,17-01-2025,6806
S6595633,Nagpur,Two-Year,120000,63142,Card,04-08-2024,56858
S6595633,Nagpur,Two-Year,120000,60479,Card,09-09-2024,-3621
S3291054,Delhi,1year,120000,40907,Online,20-04-2024,79093
S3291054,Delhi,1year,120000,28718,Card,21-10-2024,50375
S3291054,Delhi,1year,120000,37608,Card,16-04-2024,12767
S2283866,Ghaziabad,2-Year,140000,78229,Cheque,12-03-2025,61771
S2283866,Ghaziabad,2-Year,140000,69685,Online,10-09-2024,-7914
S8097478,Ahmedabad,1-Year,140000,43458,Cheque,21-05-2024,96542
S8097478,Ahmedabad,1-Year,140000,48833,Card,12-01-2023,47709
S8097478,Ahmedabad,1-Year,140000,44988,Card,03-11-2024,2721
S8085378,Nagpur,2 Yr,160000,79223,Online,16-08-2024,80777
S8085378,Nagpur,2 Yr,160000,85218,Online,19-05-2024,-4441
S4836266,Varanasi,1 Yr,160000,58440,Online,06-10-2024,101560
S4836266,Varanasi,1 Yr,160000,59868,Online,25-09-2024,41692
S4836266,Varanasi,1 Yr,160000,49250,Online,13-06-2024,-7558
S2156475,,2 Yr,120000,60908,Online,,59092
S2156475,,2 Yr,120000,57638,Card,12-08-2024,1454
S2880692,Delhi,One-Year,140000,69128,Cash,10-07-2025,70872
S2880692,Delhi,One-Year,140000,62784,Online,14-02-2025,8088
S7345786,Indore,1-Year,180000,79715,Online,15-12-2023,100285
S7345786,Indore,1-Year,180000,80642,Cash,07-06-2023,19643
S6074889,Bengaluru,2 Yr,120000,58382,Card,05-04-2023,61618
S6074889,Bengaluru,2 Yr,120000,61073,Cheque,07-10-2023,545
S4381351,Amritsar,2 Yr,140000,47843,Online,21-11-2023,92157
S4381351,Amritsar,2 Yr,140000,49759,Cash,10-09-2023,42398
S4381351,Amritsar,2 Yr,140000,47798,Cash,04-12-2023,-5400
S0818172,Indore,2-Year,120000,55163,Online,25-11-2024,64837
S0818172,Indore,2-Year,120000,62120,UPI,05-12-2025,2717
S8254006,Jaipur,2-Year,180000,63096,UPI,04-11-2025,116904
S8254006,Jaipur,2-Year,180000,54132,Cheque,07-28-2025,62772
S8254006,Jaipur,2-Year,180000,66051,Cash,19-06-2025,-3279
S9583471,Faridabad,1-Year,140000,45520,Cheque,01-08-2024,94480
S9583471,Faridabad,1-Year,140000,48149,Cash,09-07-2023,46331
S9583471,Faridabad,1-Year,140000,46194,UPI,,137
S3637557,Delhi,2-Year,180000,87835,Online,09-12-2024,92165
S3637557,Delhi,2-Year,180000,90938,Card,05-05-2024,1227
S8390135,Ghaziabad,1year,140000,44998,Cheque,06-07-2024,95002
S8390135,Ghaziabad,1year,140000,52277,UPI,26-09-2024,42725
S8390135,Ghaziabad,1year,140000,49416,Card,22-07-2024,-6691
S6146854,Ghaziabad,2 Yr,120000,45790,UPI,10-03-2025,74210
S6146854,Ghaziabad,2 Yr,120000,40261,Cash,03-10-2025,33949
S6146854,Ghaziabad,2 Yr,120000,40778,Card,02-01-2025,-6829
S4346554,Ahmedabad,1-Year,120000,37762,Cheque,25-04-2023,82238
S4346554,Ahmedabad,1-Year,120000,46873,Card,07-25-2023,35365
S4346554,Ahmedabad,1-Year,120000,39382,UPI,27-06-2023,-4017
S3561315,Faridabad,1 Yr,160000,76138,Cheque,09-05-2025,83862
S3561315,Faridabad,1 Yr,160000,81689,Online,26-02-2025,2173
S7172422,Kolkata,1-Year,120000,62191,Online,06-12-2025,57809
S7172422,Kolkata,1-Year,120000,64071,Cash,28-12-2024,-6262
S4879339,Ranchi,1-Year,180000,86587,Cheque,08-17-2025,93413
S4879339,Ranchi,1-Year,180000,82483,Card,07-16-2025,10930
S9583479,Faridabad,1 Yr,140000,144745,Cheque,17-05-2025,-4745
S8444618,Ghaziabad,1 Yr,120000,111873,Cheque,22-07-2024,8127
S0892214,Amritsar,1-Year,120000,36274,Card,09-09-2024,83726
S0892214,Amritsar,1-Year,120000,42331,Cash,29-11-2024,41395
S0892214,Amritsar,1-Year,120000,41683,Cash,02-11-2025,-288
S1302329,Kolkata,1-Year,140000,69693,Cash,09-01-2023,70307
S1302329,Kolkata,1-Year,140000,72616,UPI,12-16-2023,-2309
S7170196,Patna,2-Year,140000,50948,Online,08-27-2023,89052
S7170196,Patna,2-Year,140000,54716,Card,08-15-2023,34336
S7170196,Patna,2-Year,140000,47161,UPI,08-04-2024,-12825
S3805635,Kanpur,1year,160000,59600,Cash,,100400
S3805635,Kanpur,1year,160000,60425,Online,07-05-2024,39975
S3805635,Kanpur,1year,160000,53452,Cash,10-27-2024,-13477
S4274357,Amritsar,One-Year,180000,57237,Cash,06-08-2024,122763
S4274357,Amritsar,One-Year,180000,51241,UPI,29-01-2024,71522
S4274357,Amritsar,One-Year,180000,63135,Cash,08-09-2024,8387
S5102933,Patna,1 Yr,180000,54789,Cheque,05-15-2025,125211
S5102933,Patna,1 Yr,180000,52904,Online,03-14-2025,72307
S5102933,Patna,1 Yr,180000,66538,Online,29-03-2025,5769
S7865894,Jaipur,1 Yr,180000,87483,Online,29-10-2025,92517
S7865894,Jaipur,1 Yr,180000,87110,Online,08-04-2025,5407
S2689335,Kanpur,2-Year,120000,119237,Online,08-15-2024,763
S0497787,Agra,1-Year,160000,74141,Card,23-06-2024,85859
S0497787,Agra,1-Year,160000,73359,Cheque,06-01-2024,12500
S1087285,Indore,Two-Year,120000,59796,UPI,08-30-2024,60204
S1087285,Indore,Two-Year,120000,54267,UPI,26-06-2024,5937
S6870822,Indore,2 Yr,140000,63930,UPI,29-05-2025,76070
S6870822,Indore,2 Yr,140000,70159,UPI,05-19-2025,5911
S6734651,Mumbai,1 Yr,120000,118270,Cash,12-02-2026,1730
S5248092,Varanasi,2-Year,160000,80220,Cash,14-12-2024,79780
S5248092,Varanasi,2-Year,160000,82098,UPI,21-03-2025,-2318
S7617989,Meerut,1-Year,120000,39549,Card,31-03-2024,80451
S7617989,Meerut,1-Year,120000,41924,Cash,11-04-2024,38527
S7617989,Meerut,1-Year,120000,39894,Cheque,30-09-2024,-1367
S3067969,Nagpur,2-Year,180000,58179,Cheque,11-30-2024,121821
S3067969,Nagpur,2-Year,180000,58956,Online,02-02-2025,62865
S3067969,Nagpur,2-Year,180000,64156,Card,12-01-2025,-1291
S9057795,Chennai,1-Year,160000,77865,Cash,22-02-2023,82135
S9057795,Chennai,1-Year,160000,73149,Cash,05-28-2023,8986
S0780966,Chennai,2-Year,140000,73816,Online,01-09-2026,66184
S0780966,Chennai,2-Year,140000,66875,Card,13-04-2026,-691
S5072892,Agra,2-Year,140000,37471,UPI,25-01-2025,102529
S5072892,Agra,2-Year,140000,44238,Card,25-02-2025,58291
S5072892,Agra,2-Year,140000,41304,Card,18-02-2025,16987
S4941181,Ranchi,1-Year,160000,162140,Online,06-03-2024,-2140
S2366657,Nashik,1-Year,120000,38277,Cheque,28-01-2024,81723
S2366657,Nashik,1-Year,120000,27917,Cash,24-01-2024,53806
S2366657,Nashik,1-Year,120000,42718,Cheque,19-09-2023,11088
S5958966,Jaipur,1 Yr,180000,60081,Cash,01-01-2024,119919
S5958966,Jaipur,1 Yr,180000,57723,Online,22-05-2024,62196
S5958966,Jaipur,1 Yr,180000,58753,Cash,25-01-2024,3443
S8224495,Lucknow,1 Yr,140000,133941,Online,04-12-2023,6059
S9893670,Ahmedabad,2 Yr,180000,93012,Online,05-06-2025,86988
S9893670,Ahmedabad,2 Yr,180000,89308,UPI,05-20-2025,-2320
S9894510,Bhopal,1-Year,140000,142506,UPI,07-19-2025,-2506
S2703226,Patna,2-Year,120000,41022,Card,18-02-2024,78978
S2703226,Patna,2-Year,120000,42150,Cash,24-01-2024,36828
S2703226,Patna,2-Year,120000,36402,UPI,05-10-2023,426
S6841050,Kanpur,2 Yr,140000,65908,Online,05-09-2023,74092
S6841050,Kanpur,2 Yr,140000,69955,Card,01-08-2023,4137
S3389731,Varanasi,1year,120000,117447,Card,03-01-2024,2553
S9796958,Lucknow,2-Year,140000,69149,Cheque,01-20-2024,70851
S9796958,Lucknow,2-Year,140000,69788,Card,02-22-2024,1063
S9858350,Gurugram,1 Yr,140000,149045,Card,02-23-2025,-9045
S2833965,Surat,1-Year,160000,51019,Online,02-10-2025,108981
S2833965,Surat,1-Year,160000,59306,Online,03-02-2025,49675
S2833965,Surat,1-Year,160000,55674,Cheque,01-01-2025,-5999
S1288647,Agra,1-Year,120000,61185,Online,07-01-2024,58815
S1288647,Agra,1-Year,120000,64540,Card,13-09-2023,-5725
S0953562,Varanasi,2-Year,120000,64455,Cheque,21-10-2023,55545
S0953562,Varanasi,2-Year,120000,55482,Online,,63
S7037466,Chennai,2-Year,180000,91723,UPI,20-06-2025,88277
S7037466,Chennai,2-Year,180000,81396,UPI,26-06-2025,6881
S9199359,Agra,2 Yr,180000,181387,UPI,19-10-2025,-1387
S8061250,Pune,2 Yr,160000,83141,Card,26-12-2023,76859
S8061250,Pune,2 Yr,160000,83727,Cash,19-11-2023,-6868
S6593956,Hyderabad,1-Year,160000,79061,UPI,01-16-2024,80939
S6593956,Hyderabad,1-Year,160000,87869,Cash,01-10-2023,-6930
S5179042,Delhi,2-Year,140000,43947,Cheque,24-06-2025,96053
S5179042,Delhi,2-Year,140000,48717,Online,21-01-2026,47336
S5179042,Delhi,2-Year,140000,43414,Cash,24-06-2025,3922
S2009746,Faridabad,2-Year,140000,69644,Cheque,01-10-2024,70356
S2009746,Faridabad,2-Year,140000,71065,UPI,06-06-2024,-709
S5202458,Bhopal,1-Year,160000,83459,Cash,01-11-2025,76541
S5202458,Bhopal,1-Year,160000,85807,UPI,11-19-2025,-9266
S9736900,Pune,1-Year,160000,166058,Online,03-12-2023,-6058
S5283400,Kolkata,2 Yr,180000,93635,Online,14-03-2025,86365
S5283400,Kolkata,2 Yr,180000,88028,Card,07-31-2025,-1663
S5371891,Patna,1 Yr,180000,62450,UPI,03-01-2025,117550
S5371891,Patna,1 Yr,180000,62364,Card,02-01-2025,55186
S5371891,Patna,1 Yr,180000,59558,Card,09-10-2024,-4372
S6518561,Mumbai,1 Yr,160000,73981,Online,05-23-2024,86019
S6518561,Mumbai,1 Yr,160000,77122,Card,08-04-2024,8897
S8633302,Nagpur,2-Year,120000,44554,Card,14-05-2023,75446
S8633302,Nagpur,2-Year,120000,39102,UPI,06-01-2023,36344
S8633302,Nagpur,2-Year,120000,37672,Cheque,06-24-2023,-1328
S6767540,Kolkata,2 Yr,160000,50430,Online,03-09-2025,109570
S6767540,Kolkata,2 Yr,160000,54923,Cash,12-04-2025,54647
S6767540,Kolkata,2 Yr,160000,51352,Cash,07-06-2025,3295
S6611244,Gurugram,2-Year,140000,72452,Cheque,17-11-2023,67548
S6611244,Gurugram,2-Year,140000,67059,Cheque,14-06-2023,489
S0852275,Ludhiana,2year,120000,55888,UPI,01-25-2024,64112
S0852275,Ludhiana,2year,120000,57329,Card,01-25-2024,6783
S3794018,Vadodara,1year,180000,179413,Cash,,587
S9559800,Indore,1 Yr,180000,179432,UPI,07-24-2024,568
S7261483,Patna,2 Yr,140000,66239,UPI,06-06-2025,73761
S7261483,Patna,2 Yr,140000,68498,UPI,30-08-2025,5263
S6342277,Nashik,2-Year,180000,57338,Cheque,04-12-2024,122662
S6342277,Nashik,2-Year,180000,60595,Online,11-04-2024,62067
S6342277,Nashik,2-Year,180000,67423,Cheque,04-05-2024,-5356
S3323318,Nashik,2-Year,120000,42123,Card,10-01-2023,77877
S3323318,Nashik,2-Year,120000,52861,Card,10-18-2023,25016
S3323318,Nashik,2-Year,120000,37920,Cheque,08-27-2023,-12904
S7260959,Bhopal,Two-Year,180000,89307,UPI,,90693
S7260959,Bhopal,Two-Year,180000,81086,Card,21-12-2023,9607
S5636079,Srinagar,1-Year,140000,140586,Card,13-05-2025,-586
S1642194,Ludhiana,1-Year,160000,78953,Cash,02-05-2024,81047
S1642194,Ludhiana,1-Year,160000,80670,UPI,14-04-2024,377
S0512998,Patna,2-Year,140000,62673,Cheque,19-01-2026,77327
S0512998,Patna,2-Year,140000,64590,UPI,02-12-2025,12737
S5997957,Hyderabad,1-Year,180000,89842,Cash,28-12-2024,90158
S5997957,Hyderabad,1-Year,180000,89352,Card,17-06-2024,806
S8335577,Chennai,2 Yr,120000,40684,Cash,05-02-2025,79316
S8335577,Chennai,2 Yr,120000,41028,Cash,02-01-2025,38288
S8335577,Chennai,2 Yr,120000,40493,Online,03-11-2025,-2205
S6261015,Nashik,1 Yr,140000,47017,Online,07-30-2024,92983
S6261015,Nashik,1 Yr,140000,46399,Cheque,22-10-2024,46584
S6261015,Nashik,1 Yr,140000,49727,UPI,03-11-2024,-3143
S2596501,Kolkata,Two-Year,160000,49493,Card,20-03-2025,110507
S2596501,Kolkata,Two-Year,160000,49908,Cash,20-12-2024,60599
S2596501,Kolkata,Two-Year,160000,52726,Cheque,07-11-2024,7873
S6641316,Ranchi,2 Yr,120000,59843,UPI,12-26-2023,60157
S6641316,Ranchi,2 Yr,120000,59046,Online,11-10-2023,1111
S2068519,Kolkata,2-Year,140000,49762,UPI,05-09-2024,90238
S2068519,Kolkata,2-Year,140000,44160,Cash,04-01-2025,46078
S2068519,Kolkata,2-Year,140000,44307,Card,28-10-2024,1771
S2981300,Bhopal,One-Year,160000,78193,Cash,05-06-2023,81807
S2981300,Bhopal,One-Year,160000,74715,Online,03-12-2023,7092
S2001223,Nagpur,2-Year,140000,44234,UPI,06-01-2024,95766
S2001223,Nagpur,2-Year,140000,50449,Cash,09-29-2023,45317
S2001223,Nagpur,2-Year,140000,44581,UPI,10-12-2023,736
S1244669,Ludhiana,1year,120000,119974,Card,28-02-2025,26
S3911449,Ahmedabad,2 Yr,140000,62795,Online,02-09-2025,77205
S3911449,Ahmedabad,2 Yr,140000,73156,Cheque,06-02-2026,4049
S4753945,Delhi,One-Year,140000,71976,Online,08-12-2025,68024
S4753945,Delhi,One-Year,140000,67465,UPI,16-05-2025,559
S9636470,Srinagar,1-Year,160000,75573,Online,11-27-2023,84427
